8192,16,1,0.435280,0.937395
8192,32,1,0.435490,0.934263
8192,64,1,0.435290,0.934901
8192,128,1,0.436200,0.932926
8192,16,2,0.435220,0.937794
8192,32,2,0.435820,0.936118
8192,64,2,0.435270,0.934522
8192,128,2,0.435370,0.933704
8192,16,4,0.434970,0.937675
8192,32,4,0.435360,0.936059
8192,64,4,0.435160,0.933625
8192,128,4,0.435660,0.932368
8192,16,8,0.435450,0.937315
8192,32,8,0.435130,0.935560
8192,64,8,0.435440,0.933704
8192,128,8,0.435720,0.932348
16384,16,1,0.374530,0.865533
16384,32,1,0.373020,0.861623
16384,64,1,0.373340,0.858910
16384,128,1,0.374410,0.856875
16384,16,2,0.373830,0.868267
16384,32,2,0.372310,0.862501
16384,64,2,0.371790,0.857434
16384,128,2,0.373410,0.854920
16384,16,4,0.373300,0.867070
16384,32,4,0.372570,0.861224
16384,64,4,0.371680,0.858451
16384,128,4,0.373960,0.854321
16384,16,8,0.373590,0.867110
16384,32,8,0.372000,0.862481
16384,64,8,0.371750,0.859828
16384,128,8,0.373480,0.855897
32768,16,1,0.254640,0.686238
32768,32,1,0.251390,0.678597
32768,64,1,0.250880,0.670876
32768,128,1,0.250670,0.669200
32768,16,2,0.251550,0.684762
32768,32,2,0.250390,0.678098
32768,64,2,0.248860,0.670757
32768,128,2,0.248520,0.665230
32768,16,4,0.252480,0.685779
32768,32,4,0.249210,0.679235
32768,64,4,0.247770,0.668662
32768,128,4,0.247670,0.664871
32768,16,8,0.251990,0.685759
32768,32,8,0.249280,0.677001
32768,64,8,0.248230,0.671235
32768,128,8,0.247950,0.665170
65536,16,1,0.020690,0.081697
65536,32,1,0.010170,0.040839
65536,64,1,0.005160,0.020409
65536,128,1,0.002510,0.010195
65536,16,2,0.020710,0.081717
65536,32,2,0.010180,0.040859
65536,64,2,0.005160,0.020409
65536,128,2,0.002510,0.010195
65536,16,4,0.020710,0.081717
65536,32,4,0.010170,0.040859
65536,64,4,0.005160,0.020409
65536,128,4,0.002520,0.010215
65536,16,8,0.020710,0.081717
65536,32,8,0.010180,0.040859
65536,64,8,0.005170,0.020429
65536,128,8,0.002520,0.010215
